date,tot_trucks
2020-01-01,10
2020-01-02,46
2020-01-03,45
2020-01-04,20
2020-01-05,5
2020-01-06,46
2020-01-07,45
2020-01-08,39
2020-01-09,34
2020-01-10,35
2020-01-11,19
2020-01-12,2
2020-01-13,45
2020-01-14,38
2020-01-15,32
2020-01-16,37
2020-01-17,33
2020-01-18,14
2020-01-19,6
2020-01-20,45
2020-01-21,41
2020-01-22,36
2020-01-23,39
2020-01-24,39
2020-01-25,16
2020-01-26,5
2020-01-27,50
2020-01-28,37
2020-01-29,40
2020-01-30,43
2020-01-31,43
2020-02-01,22
2020-02-02,7
2020-02-03,47
2020-02-04,38
2020-02-05,31
2020-02-06,42
2020-02-07,46
2020-02-08,21
2020-02-09,7
2020-02-10,41
2020-02-11,40
2020-02-12,43
2020-02-13,48
2020-02-14,39
2020-02-15,22
2020-02-16,4
2020-02-17,49
2020-02-18,51
2020-02-19,40
2020-02-20,41
2020-02-21,41
2020-02-22,15
2020-02-23,4
2020-02-24,45
2020-02-25,46
2020-02-26,42
2020-02-27,45
2020-02-28,40
2020-02-29,21
2020-03-01,7
2020-03-02,48
2020-03-03,54
2020-03-04,50
2020-03-05,48
2020-03-06,46
2020-03-07,25
2020-03-08,3
2020-03-09,58
2020-03-10,44
2020-03-11,46
2020-03-12,41
2020-03-13,42
2020-03-14,27
2020-03-15,6
2020-03-16,51
2020-03-17,51
2020-03-18,48
2020-03-19,45
2020-03-20,41
2020-03-21,21
2020-03-22,6
2020-03-23,53
2020-03-24,40
2020-03-25,34
2020-03-26,33
2020-03-27,43
2020-03-28,28
2020-03-29,8
2020-03-30,47
2020-03-31,49
2020-04-01,45
2020-04-02,45
2020-04-03,41
2020-04-04,28
2020-04-05,5
2020-04-06,61
2020-04-07,49
2020-04-08,50
2020-04-09,55
2020-04-10,49
2020-04-11,21
2020-04-12,5
2020-04-13,57
2020-04-14,55
2020-04-15,41
2020-04-16,47
2020-04-17,45
2020-04-18,24
2020-04-19,7
2020-04-20,45
2020-04-21,42
2020-04-22,35
2020-04-23,44
2020-04-24,46
2020-04-25,27
2020-04-26,6
2020-04-27,53
2020-04-28,49
2020-04-29,39
2020-04-30,48
2020-05-01,42
2020-05-02,27
2020-05-03,3
2020-05-04,50
2020-05-05,50
2020-05-06,40
2020-05-07,49
2020-05-08,46
2020-05-09,22
2020-05-10,6
2020-05-11,49
2020-05-12,43
2020-05-13,34
2020-05-14,42
2020-05-15,38
2020-05-16,19
2020-05-17,6
2020-05-18,50
2020-05-19,42
2020-05-20,40
2020-05-21,50
2020-05-22,43
2020-05-23,21
2020-05-24,5
2020-05-25,50
2020-05-26,40
2020-05-27,28
2020-05-28,47
2020-05-29,43
2020-05-30,20
2020-05-31,6
2020-06-01,46
2020-06-02,47
2020-06-03,37
2020-06-04,39
2020-06-05,44
2020-06-06,23
2020-06-07,4
2020-06-08,55
2020-06-09,50
2020-06-10,52
2020-06-11,46
2020-06-12,50
2020-06-13,20
2020-06-14,6
2020-06-15,53
2020-06-16,46
2020-06-17,41
2020-06-18,43
2020-06-19,46
2020-06-20,23
2020-06-21,6
2020-06-22,50
2020-06-23,45
2020-06-24,35
2020-06-25,39
2020-06-26,42
2020-06-27,20
2020-06-28,5
2020-06-29,48
2020-06-30,54
2020-07-01,48
2020-07-02,46
2020-07-03,38
2020-07-04,23
2020-07-05,4
2020-07-06,59
2020-07-07,55
2020-07-08,37
2020-07-09,50
2020-07-10,44
2020-07-11,24
2020-07-12,3
2020-07-13,56
2020-07-14,59
2020-07-15,45
2020-07-16,48
2020-07-17,44
2020-07-18,24
2020-07-19,3
2020-07-20,58
2020-07-21,54
2020-07-22,41
2020-07-23,53
2020-07-24,48
2020-07-25,14
2020-07-26,7
2020-07-27,49
2020-07-28,48
2020-07-29,44
2020-07-30,46
2020-07-31,46
2020-08-01,24
2020-08-02,8
2020-08-03,45
2020-08-04,44
2020-08-05,35
2020-08-06,41
2020-08-07,41
2020-08-08,10
2020-08-09,7
2020-08-10,42
2020-08-11,44
2020-08-12,37
2020-08-13,41
2020-08-14,41
2020-08-15,16
2020-08-16,7
2020-08-17,42
2020-08-18,61
2020-08-19,47
2020-08-20,48
2020-08-21,43
2020-08-22,20
2020-08-23,4
2020-08-24,50
2020-08-25,49
2020-08-26,37
2020-08-27,39
2020-08-28,42
2020-08-29,22
2020-08-30,8
2020-08-31,45
2020-09-01,46
2020-09-02,37
2020-09-03,44
2020-09-04,39
2020-09-05,15
2020-09-06,5
2020-09-07,46
2020-09-08,59
2020-09-09,42
2020-09-10,47
2020-09-11,48
2020-09-12,25
2020-09-13,4
2020-09-14,54
2020-09-15,51
2020-09-16,36
2020-09-17,48
2020-09-18,42
2020-09-19,20
2020-09-20,5
2020-09-21,45
2020-09-22,46
2020-09-23,40
2020-09-24,45
2020-09-25,41
2020-09-26,13
2020-09-27,1
2020-09-28,37
2020-09-29,40
2020-09-30,40
2020-10-01,39
2020-10-02,36
2020-10-03,15
2020-10-04,5
2020-10-05,48
2020-10-06,46
2020-10-07,43
2020-10-08,44
2020-10-09,40
2020-10-10,13
2020-10-11,3
2020-10-12,53
2020-10-13,47
2020-10-14,37
2020-10-15,40
2020-10-16,43
2020-10-17,20
2020-10-18,4
