date,tot_trucks
2020-01-01,10
2020-01-02,39
2020-01-03,41
2020-01-04,15
2020-01-05,4
2020-01-06,42
2020-01-07,40
2020-01-08,36
2020-01-09,32
2020-01-10,32
2020-01-11,17
2020-01-12,2
2020-01-13,41
2020-01-14,34
2020-01-15,31
2020-01-16,33
2020-01-17,26
2020-01-18,11
2020-01-19,5
2020-01-20,37
2020-01-21,37
2020-01-22,33
2020-01-23,36
2020-01-24,35
2020-01-25,13
2020-01-26,5
2020-01-27,46
2020-01-28,32
2020-01-29,35
2020-01-30,37
2020-01-31,41
2020-02-01,18
2020-02-02,7
2020-02-03,41
2020-02-04,35
2020-02-05,29
2020-02-06,37
2020-02-07,38
2020-02-08,17
2020-02-09,4
2020-02-10,37
2020-02-11,32
2020-02-12,38
2020-02-13,40
2020-02-14,35
2020-02-15,21
2020-02-16,4
2020-02-17,45
2020-02-18,45
2020-02-19,36
2020-02-20,37
2020-02-21,37
2020-02-22,11
2020-02-23,3
2020-02-24,40
2020-02-25,42
2020-02-26,34
2020-02-27,35
2020-02-28,32
2020-02-29,15
2020-03-01,4
2020-03-02,43
2020-03-03,46
2020-03-04,43
2020-03-05,42
2020-03-06,41
2020-03-07,19
2020-03-08,3
2020-03-09,54
2020-03-10,41
2020-03-11,40
2020-03-12,37
2020-03-13,36
2020-03-14,23
2020-03-15,6
2020-03-16,47
2020-03-17,48
2020-03-18,42
2020-03-19,38
2020-03-20,40
2020-03-21,21
2020-03-22,7
2020-03-23,46
2020-03-24,36
2020-03-25,33
2020-03-26,29
2020-03-27,37
2020-03-28,24
2020-03-29,6
2020-03-30,46
2020-03-31,44
2020-04-01,38
2020-04-02,41
2020-04-03,38
2020-04-04,26
2020-04-05,4
2020-04-06,53
2020-04-07,46
2020-04-08,45
2020-04-09,48
2020-04-10,43
2020-04-11,18
2020-04-12,4
2020-04-13,54
2020-04-14,49
2020-04-15,36
2020-04-16,39
2020-04-17,41
2020-04-18,20
2020-04-19,8
2020-04-20,41
2020-04-21,36
2020-04-22,33
2020-04-23,40
2020-04-24,41
2020-04-25,23
2020-04-26,5
2020-04-27,46
2020-04-28,43
2020-04-29,34
2020-04-30,45
2020-05-01,39
2020-05-02,22
2020-05-03,3
2020-05-04,46
2020-05-05,46
2020-05-06,34
2020-05-07,44
2020-05-08,42
2020-05-09,15
2020-05-10,5
2020-05-11,44
2020-05-12,38
2020-05-13,29
2020-05-14,37
2020-05-15,35
2020-05-16,15
2020-05-17,5
2020-05-18,44
2020-05-19,38
2020-05-20,36
2020-05-21,44
2020-05-22,34
2020-05-23,20
2020-05-24,3
2020-05-25,42
2020-05-26,36
2020-05-27,25
