date,truck_num,tot_weight
2020-01-01,truck0,11505.0
2020-01-01,truck1,2265.0
2020-01-01,truck2,5585.0
2020-01-01,truck3,10460.0
2020-01-01,truck4,2570.0
2020-01-02,truck0,12995.0
2020-01-02,truck1,12995.0
2020-01-02,truck2,12990.0
2020-01-02,truck3,12800.0
2020-01-02,truck4,12985.0
2020-01-02,truck5,12975.0
2020-01-02,truck6,12950.0
2020-01-02,truck7,12990.0
2020-01-02,truck8,10745.0
2020-01-02,truck9,12990.0
2020-01-02,truck10,10025.0
2020-01-02,truck11,12990.0
2020-01-02,truck12,12990.0
2020-01-02,truck13,8075.0
2020-01-02,truck14,6745.0
2020-01-02,truck15,1885.0
2020-01-02,truck16,12985.0
2020-01-02,truck17,10780.0
2020-01-02,truck18,9120.0
2020-01-02,truck19,8165.0
2020-01-02,truck20,8275.0
2020-01-02,truck21,150.0
2020-01-02,truck22,10905.0
2020-01-02,truck23,385.0
2020-01-02,truck24,8805.0
2020-01-02,truck25,12885.0
2020-01-02,truck26,1755.0
2020-01-02,truck27,12610.0
2020-01-02,truck28,3320.0
2020-01-02,truck29,5225.0
2020-01-02,truck30,10705.0
2020-01-02,truck31,215.0
2020-01-02,truck32,805.0
2020-01-03,truck0,12990.0
2020-01-03,truck1,12985.0
2020-01-03,truck2,12975.0
2020-01-03,truck3,12990.0
2020-01-03,truck4,12980.0
2020-01-03,truck5,12985.0
2020-01-03,truck6,12990.0
2020-01-03,truck7,12985.0
2020-01-03,truck8,12980.0
2020-01-03,truck9,12920.0
2020-01-03,truck10,12960.0
2020-01-03,truck11,12995.0
2020-01-03,truck12,12875.0
2020-01-03,truck13,10855.0
2020-01-03,truck14,12875.0
2020-01-03,truck15,11740.0
2020-01-03,truck16,9485.0
2020-01-03,truck17,7350.0
2020-01-03,truck18,12980.0
2020-01-03,truck19,8865.0
2020-01-03,truck20,6195.0
2020-01-03,truck21,12835.0
2020-01-03,truck22,10970.0
2020-01-03,truck23,1080.0
2020-01-03,truck24,4900.0
2020-01-03,truck25,10285.0
2020-01-03,truck26,800.0
2020-01-04,truck0,4670.0
2020-01-04,truck1,1190.0
2020-01-04,truck2,12990.0
2020-01-04,truck3,12750.0
2020-01-04,truck4,12905.0
2020-01-04,truck5,9765.0
2020-01-04,truck6,9360.0
2020-01-04,truck7,2845.0
2020-01-04,truck8,650.0
2020-01-04,truck9,1130.0
2020-01-04,truck10,2790.0
2020-01-04,truck11,375.0
2020-01-04,truck12,5390.0
2020-01-04,truck13,80.0
2020-01-04,truck14,2000.0
2020-01-04,truck15,115.0
2020-01-05,truck0,1955.0
2020-01-06,truck0,12995.0
2020-01-06,truck1,12940.0
2020-01-06,truck2,12965.0
2020-01-06,truck3,12975.0
2020-01-06,truck4,12995.0
2020-01-06,truck5,12880.0
2020-01-06,truck6,12805.0
2020-01-06,truck7,12955.0
2020-01-06,truck8,8785.0
2020-01-06,truck9,12945.0
2020-01-06,truck10,12990.0
2020-01-06,truck11,12665.0
2020-01-06,truck12,12950.0
2020-01-06,truck13,12935.0
2020-01-06,truck14,12525.0
2020-01-06,truck15,12670.0
2020-01-06,truck16,12965.0
2020-01-06,truck17,12965.0
2020-01-06,truck18,1285.0
2020-01-06,truck19,8080.0
2020-01-06,truck20,12130.0
2020-01-06,truck21,3065.0
2020-01-06,truck22,12315.0
2020-01-06,truck23,11465.0
2020-01-06,truck24,1785.0
2020-01-06,truck25,2940.0
2020-01-06,truck26,500.0
2020-01-06,truck27,12885.0
2020-01-06,truck28,5210.0
2020-01-06,truck29,6955.0
2020-01-06,truck30,175.0
2020-01-06,truck31,2720.0
2020-01-06,truck32,870.0
2020-01-06,truck33,2415.0
2020-01-07,truck0,12995.0
2020-01-07,truck1,12815.0
2020-01-07,truck2,12980.0
2020-01-07,truck3,12980.0
2020-01-07,truck4,12985.0
2020-01-07,truck5,12980.0
2020-01-07,truck6,12780.0
2020-01-07,truck7,12990.0
2020-01-07,truck8,12925.0
2020-01-07,truck9,12745.0
2020-01-07,truck10,12960.0
2020-01-07,truck11,12995.0
2020-01-07,truck12,12995.0
2020-01-07,truck13,12710.0
2020-01-07,truck14,5275.0
2020-01-07,truck15,12985.0
2020-01-07,truck16,12855.0
2020-01-07,truck17,12950.0
2020-01-07,truck18,3780.0
2020-01-07,truck19,10540.0
2020-01-07,truck20,10220.0
2020-01-07,truck21,6930.0
2020-01-07,truck22,4545.0
2020-01-07,truck23,810.0
2020-01-07,truck24,10720.0
2020-01-07,truck25,6685.0
2020-01-07,truck26,10910.0
2020-01-07,truck27,5485.0
2020-01-07,truck28,7405.0
2020-01-07,truck29,5540.0
2020-01-07,truck30,1410.0
2020-01-08,truck0,12955.0
2020-01-08,truck1,4540.0
2020-01-08,truck2,12990.0
2020-01-08,truck3,10855.0
2020-01-08,truck4,12995.0
2020-01-08,truck5,12930.0
2020-01-08,truck6,12985.0
2020-01-08,truck7,12960.0
2020-01-08,truck8,11100.0
2020-01-08,truck9,185.0
2020-01-08,truck10,12885.0
2020-01-08,truck11,12970.0
2020-01-08,truck12,12995.0
2020-01-08,truck13,12990.0
2020-01-08,truck14,12875.0
2020-01-08,truck15,12570.0
2020-01-08,truck16,12475.0
2020-01-08,truck17,12945.0
2020-01-08,truck18,12955.0
2020-01-08,truck19,12950.0
2020-01-08,truck20,10835.0
2020-01-08,truck21,2540.0
2020-01-08,truck22,9985.0
2020-01-08,truck23,2325.0
2020-01-08,truck24,4065.0
2020-01-08,truck25,12875.0
2020-01-08,truck26,335.0
2020-01-08,truck27,1140.0
2020-01-09,truck0,12945.0
2020-01-09,truck1,12965.0
2020-01-09,truck2,12950.0
2020-01-09,truck3,12990.0
2020-01-09,truck4,12995.0
2020-01-09,truck5,12980.0
2020-01-09,truck6,12960.0
2020-01-09,truck7,12915.0
2020-01-09,truck8,12995.0
2020-01-09,truck9,12780.0
2020-01-09,truck10,6850.0
2020-01-09,truck11,2920.0
2020-01-09,truck12,11470.0
2020-01-09,truck13,1485.0
2020-01-09,truck14,4850.0
2020-01-09,truck15,12970.0
2020-01-09,truck16,8545.0
2020-01-09,truck17,8850.0
2020-01-09,truck18,3125.0
2020-01-09,truck19,3535.0
2020-01-09,truck20,9670.0
2020-01-09,truck21,12655.0
2020-01-09,truck22,2765.0
2020-01-10,truck0,12970.0
2020-01-10,truck1,12985.0
2020-01-10,truck2,12995.0
2020-01-10,truck3,12985.0
2020-01-10,truck4,12970.0
2020-01-10,truck5,12715.0
2020-01-10,truck6,12990.0
2020-01-10,truck7,12960.0
2020-01-10,truck8,12960.0
2020-01-10,truck9,700.0
2020-01-10,truck10,8195.0
2020-01-10,truck11,12940.0
2020-01-10,truck12,10775.0
2020-01-10,truck13,2990.0
2020-01-10,truck14,12835.0
2020-01-10,truck15,2885.0
2020-01-10,truck16,3080.0
2020-01-10,truck17,2285.0
2020-01-10,truck18,8070.0
2020-01-10,truck19,4200.0
2020-01-10,truck20,12385.0
2020-01-10,truck21,370.0
2020-01-10,truck22,5375.0
2020-01-11,truck0,7730.0
2020-01-11,truck1,12585.0
2020-01-11,truck2,1920.0
2020-01-11,truck3,12890.0
2020-01-11,truck4,10605.0
2020-01-11,truck5,80.0
2020-01-11,truck6,7815.0
2020-01-11,truck7,155.0
2020-01-11,truck8,12830.0
2020-01-11,truck9,4570.0
2020-01-11,truck10,9750.0
