id,dateObserved,lat,long,weight,day_diff
124660.464_486272.258-Rest,2020-08-09T05:25:54.000Z,52.363503,4.9417853,425,6
124432.013_486308.627-Rest,2020-08-09T05:29:12.000Z,52.363815,4.938428,310,4
124432.013_486308.627-Rest,2020-08-09T05:30:43.000Z,52.363815,4.938428,245,0
124307.118_486297.137-Rest,2020-08-09T05:33:59.000Z,52.363705,4.9365954,475,4
124307.118_486297.137-Rest,2020-08-09T05:35:08.000Z,52.363705,4.9365954,475,0
124203.587_486305.948-Rest,2020-08-09T05:38:18.000Z,52.36378,4.935075,600,4
124203.587_486305.948-Rest,2020-08-09T05:39:19.000Z,52.36378,4.935075,725,0
124123.255_486292.927-Rest,2020-08-09T05:43:05.000Z,52.36366,4.9338965,550,4
124123.255_486292.927-Rest,2020-08-09T05:44:38.000Z,52.36366,4.9338965,560,0
124123.255_486292.927-Rest,2020-08-09T05:45:59.000Z,52.36366,4.9338965,620,0
123993.499_486279.958-Rest,2020-08-09T05:49:07.000Z,52.363533,4.931993,485,4
123993.499_486279.958-Rest,2020-08-09T05:50:25.000Z,52.363533,4.931993,305,0
123993.499_486279.958-Rest,2020-08-09T05:51:29.000Z,52.363533,4.931993,290,0
124268.444_486232.299-Rest,2020-08-09T05:56:06.000Z,52.36312,4.9360337,735,2
125377.270_481059.600-Rest,2020-08-09T06:03:45.000Z,52.316692,4.9527674,345,2
122248.758_487686.232-Rest,2020-08-09T06:36:20.000Z,52.376072,4.906242,185,1
122279.355_487671.392-Rest,2020-08-09T06:39:11.000Z,52.37594,4.9066925,105,1
122279.355_487671.392-Rest,2020-08-09T06:40:06.000Z,52.37594,4.9066925,195,0
122340.981_485342.761-Rest,2020-08-09T07:03:10.000Z,52.355015,4.9078236,65,6
122340.981_485342.761-Rest,2020-08-09T07:04:18.000Z,52.355015,4.9078236,145,0
122757.349_485608.714-Rest,2020-08-09T07:24:30.000Z,52.35743,4.91391,175,2
125229.291_481831.011-Rest,2020-08-09T07:24:51.000Z,52.32362,4.950529,205,2
125031.963_482082.789-Rest,2020-08-09T07:37:38.000Z,52.32587,4.9476123,310,2
125099.582_481960.348-Rest,2020-08-09T07:40:12.000Z,52.32477,4.948615,230,2
125001.935_481902.335-Rest,2020-08-09T07:44:18.000Z,52.324245,4.947188,400,2
124932.271_482031.499-Rest,2020-08-09T07:48:19.000Z,52.325405,4.9461546,215,2
124837.510_481979.882-Rest,2020-08-09T07:52:04.000Z,52.324936,4.944769,265,2
124904.811_481856.066-Rest,2020-08-09T07:55:00.000Z,52.323826,4.9457674,250,2
124656.441_481732.340-Rest,2020-08-09T07:59:37.000Z,52.3227,4.9421353,170,2
125063.107_481754.811-Rest,2020-08-09T08:11:10.000Z,52.322926,4.948098,375,7
124883.339_481327.054-Rest,2020-08-09T08:23:20.000Z,52.31907,4.9455,315,2
124870.293_481448.255-Rest,2020-08-09T08:27:58.000Z,52.32016,4.9452977,220,4
124780.765_481398.317-Rest,2020-08-09T08:30:33.000Z,52.319706,4.943989,200,2
124792.878_481083.667-Rest,2020-08-09T08:44:34.000Z,52.31688,4.944195,140,2
124710.178_481232.665-Rest,2020-08-09T08:47:02.000Z,52.31821,4.9429684,180,2
124614.479_481405.698-Rest,2020-08-09T08:50:09.000Z,52.319763,4.9415493,195,2
