date,truck_num,weight
2020-01-01,truck0,3485
2020-01-01,truck0,2445
2020-01-01,truck0,2710
2020-01-01,truck0,2865
2020-01-01,truck0,2770
2020-01-01,truck0,2815
2020-01-01,truck0,2850
2020-01-01,truck0,2350
2020-01-01,truck0,2430
2020-01-01,truck0,2830
2020-01-01,truck0,2570
2020-01-01,truck1,365
2020-01-01,truck1,290
2020-01-01,truck1,390
2020-01-01,truck1,300
2020-01-01,truck1,255
2020-01-01,truck1,175
2020-01-01,truck1,230
2020-01-01,truck1,260
2020-01-02,truck0,145
2020-01-02,truck0,185
2020-01-02,truck0,250
2020-01-02,truck0,305
2020-01-02,truck0,1025
2020-01-02,truck0,290
2020-01-02,truck0,200
2020-01-02,truck0,200
2020-01-02,truck0,185
2020-01-02,truck0,345
2020-01-02,truck0,885
2020-01-02,truck0,70
2020-01-02,truck0,1020
2020-01-02,truck0,400
2020-01-02,truck0,60
2020-01-02,truck0,770
2020-01-02,truck0,220
2020-01-02,truck0,1055
2020-01-02,truck0,1075
2020-01-02,truck0,260
2020-01-02,truck0,280
2020-01-02,truck0,300
2020-01-02,truck0,980
2020-01-02,truck0,675
2020-01-02,truck0,90
2020-01-02,truck0,845
2020-01-02,truck0,690
2020-01-02,truck0,5
2020-01-02,truck0,50
2020-01-02,truck0,225
2020-01-02,truck0,250
2020-01-02,truck0,250
2020-01-02,truck0,295
2020-01-02,truck0,385
2020-01-02,truck0,30
2020-01-02,truck0,325
2020-01-02,truck0,345
2020-01-02,truck0,300
2020-01-02,truck0,235
2020-01-02,truck0,265
2020-01-02,truck0,250
2020-01-02,truck0,255
2020-01-02,truck0,290
2020-01-02,truck0,395
2020-01-02,truck0,410
2020-01-02,truck0,285
2020-01-02,truck0,320
2020-01-02,truck0,280
2020-01-02,truck0,850
2020-01-02,truck0,420
2020-01-02,truck0,465
2020-01-02,truck0,360
2020-01-02,truck0,225
2020-01-02,truck0,150
2020-01-02,truck0,245
2020-01-02,truck0,215
2020-01-02,truck0,390
2020-01-02,truck0,315
2020-01-02,truck0,360
2020-01-02,truck0,425
2020-01-02,truck0,190
2020-01-02,truck0,1040
2020-01-02,truck0,490
2020-01-02,truck0,155
2020-01-02,truck0,490
2020-01-02,truck0,475
2020-01-02,truck0,20
2020-01-02,truck0,230
2020-01-02,truck0,480
2020-01-02,truck0,425
2020-01-02,truck0,420
2020-01-02,truck0,435
2020-01-02,truck0,2570
2020-01-02,truck0,2840
2020-01-02,truck0,2315
2020-01-02,truck0,165
2020-01-02,truck0,305
2020-01-02,truck0,155
2020-01-02,truck0,10
2020-01-02,truck0,145
2020-01-02,truck0,220
2020-01-02,truck0,200
2020-01-02,truck0,280
2020-01-02,truck0,175
2020-01-02,truck0,305
2020-01-02,truck0,120
2020-01-02,truck0,550
2020-01-02,truck0,145
2020-01-02,truck0,400
2020-01-02,truck0,135
2020-01-02,truck0,525
2020-01-02,truck0,420
2020-01-02,truck0,775
2020-01-02,truck0,865
2020-01-02,truck0,505
2020-01-02,truck0,15
2020-01-02,truck0,230
2020-01-02,truck0,355
2020-01-02,truck1,535
2020-01-02,truck1,285
2020-01-02,truck1,250
2020-01-02,truck1,330
2020-01-02,truck1,185
2020-01-02,truck1,315
2020-01-02,truck1,345
2020-01-02,truck1,220
2020-01-02,truck1,320
2020-01-02,truck1,320
2020-01-02,truck1,300
2020-01-02,truck1,285
2020-01-02,truck1,385
2020-01-02,truck1,280
2020-01-02,truck1,240
2020-01-02,truck1,390
2020-01-02,truck1,460
2020-01-02,truck1,505
2020-01-02,truck1,210
2020-01-02,truck1,215
2020-01-02,truck1,105
2020-01-02,truck1,435
2020-01-02,truck1,205
2020-01-02,truck1,380
2020-01-02,truck1,350
2020-01-02,truck1,325
2020-01-02,truck1,200
2020-01-02,truck1,295
2020-01-02,truck1,530
2020-01-02,truck1,215
2020-01-02,truck1,300
2020-01-02,truck1,95
2020-01-02,truck1,95
2020-01-02,truck1,175
2020-01-02,truck1,20
2020-01-02,truck1,540
2020-01-02,truck1,410
2020-01-02,truck1,130
2020-01-02,truck1,275
2020-01-02,truck1,340
2020-01-02,truck1,330
2020-01-02,truck1,280
2020-01-02,truck1,315
2020-01-02,truck1,425
2020-01-02,truck1,450
2020-01-02,truck1,940
2020-01-02,truck1,300
2020-01-02,truck1,195
2020-01-02,truck1,285
2020-01-02,truck1,210
2020-01-02,truck1,390
2020-01-02,truck1,175
2020-01-02,truck1,405
2020-01-02,truck1,395
2020-01-02,truck1,140
2020-01-02,truck1,160
2020-01-02,truck1,290
2020-01-02,truck1,220
2020-01-02,truck1,120
2020-01-02,truck1,155
2020-01-02,truck1,430
2020-01-02,truck1,55
2020-01-02,truck1,165
2020-01-02,truck1,180
2020-01-02,truck1,105
2020-01-02,truck1,475
2020-01-02,truck1,415
2020-01-02,truck1,245
2020-01-02,truck1,795
2020-01-02,truck1,710
2020-01-02,truck1,280
2020-01-02,truck1,550
2020-01-02,truck1,15
2020-01-02,truck1,395
2020-01-02,truck1,225
2020-01-02,truck1,295
2020-01-02,truck1,200
2020-01-02,truck1,225
2020-01-02,truck1,300
2020-01-02,truck1,200
2020-01-02,truck1,240
2020-01-02,truck1,365
2020-01-02,truck1,410
2020-01-02,truck1,475
2020-01-02,truck1,365
2020-01-02,truck1,200
2020-01-02,truck1,355
2020-01-02,truck1,345
2020-01-02,truck1,160
2020-01-02,truck1,530
2020-01-02,truck1,90
2020-01-02,truck1,215
2020-01-02,truck1,295
2020-01-02,truck1,245
2020-01-02,truck1,190
2020-01-02,truck1,80
2020-01-02,truck1,70
2020-01-02,truck1,35
2020-01-02,truck2,120
2020-01-02,truck2,110
2020-01-02,truck2,190
2020-01-02,truck2,215
2020-01-02,truck2,180
2020-01-02,truck2,310
2020-01-02,truck2,330
2020-01-02,truck2,330
2020-01-02,truck2,265
2020-01-02,truck2,160
2020-01-02,truck2,160
2020-01-02,truck2,205
2020-01-02,truck2,515
2020-01-02,truck2,275
2020-01-02,truck2,240
2020-01-02,truck2,35
2020-01-02,truck2,310
2020-01-02,truck2,445
2020-01-02,truck2,235
2020-01-02,truck2,350
2020-01-02,truck2,180
2020-01-02,truck2,205
2020-01-02,truck2,170
2020-01-02,truck2,165
2020-01-02,truck2,240
2020-01-02,truck2,475
2020-01-02,truck2,565
2020-01-02,truck2,750
2020-01-02,truck2,600
2020-01-02,truck2,790
2020-01-02,truck2,1045
2020-01-02,truck2,345
2020-01-02,truck2,380
2020-01-02,truck2,305
2020-01-02,truck2,455
2020-01-02,truck2,390
2020-01-02,truck2,660
2020-01-02,truck2,205
2020-01-02,truck2,335
2020-01-02,truck2,425
2020-01-02,truck2,255
2020-01-02,truck2,360
2020-01-02,truck2,430
2020-01-02,truck2,2825
2020-01-02,truck2,2570
2020-01-02,truck2,2765
2020-01-02,truck2,2745
2020-01-02,truck2,2755
2020-01-02,truck2,2000
2020-01-02,truck2,2655
2020-01-02,truck2,225
2020-01-02,truck2,270
2020-01-02,truck2,215
2020-01-02,truck2,275
2020-01-02,truck2,300
2020-01-02,truck2,285
2020-01-02,truck2,100
2020-01-02,truck2,220
2020-01-02,truck2,35
2020-01-02,truck2,1040
2020-01-02,truck3,2645
2020-01-02,truck3,2655
2020-01-02,truck3,2760
2020-01-02,truck3,2790
2020-01-02,truck3,2620
2020-01-02,truck3,90
2020-01-02,truck3,2590
2020-01-02,truck3,110
2020-01-02,truck3,480
2020-01-02,truck3,600
2020-01-02,truck3,265
2020-01-02,truck3,295
2020-01-02,truck3,565
2020-01-02,truck3,70
2020-01-02,truck3,100
2020-01-02,truck3,200
2020-01-02,truck3,395
2020-01-02,truck3,215
2020-01-02,truck3,480
2020-01-02,truck3,635
2020-01-02,truck3,565
2020-01-02,truck3,455
2020-01-02,truck3,250
2020-01-02,truck3,165
2020-01-02,truck3,440
2020-01-02,truck3,410
2020-01-02,truck3,480
2020-01-02,truck3,725
2020-01-02,truck3,340
2020-01-02,truck3,105
2020-01-02,truck3,85
2020-01-02,truck3,65
2020-01-02,truck3,70
2020-01-02,truck3,115
2020-01-02,truck3,285
2020-01-02,truck3,190
2020-01-02,truck3,230
2020-01-02,truck3,305
2020-01-02,truck3,290
2020-01-02,truck3,310
2020-01-02,truck3,200
2020-01-02,truck3,230
2020-01-02,truck3,185
2020-01-02,truck3,175
2020-01-02,truck3,5
2020-01-02,truck3,215
2020-01-02,truck3,255
2020-01-02,truck3,190
2020-01-02,truck3,175
2020-01-02,truck3,300
2020-01-02,truck3,565
2020-01-02,truck3,815
2020-01-02,truck3,800
2020-01-02,truck3,755
2020-01-02,truck3,195
2020-01-02,truck3,1060
2020-01-02,truck3,200
2020-01-02,truck3,470
2020-01-02,truck3,235
2020-01-02,truck3,240
2020-01-02,truck3,260
2020-01-02,truck3,325
2020-01-02,truck3,315
2020-01-02,truck3,280
2020-01-02,truck3,400
2020-01-02,truck3,290
2020-01-02,truck4,290
2020-01-02,truck4,405
2020-01-02,truck4,235
2020-01-02,truck4,455
2020-01-02,truck4,515
2020-01-02,truck4,170
2020-01-02,truck4,295
2020-01-02,truck4,230
2020-01-02,truck4,290
2020-01-02,truck4,380
2020-01-02,truck4,80
2020-01-02,truck4,390
2020-01-02,truck4,2815
2020-01-02,truck4,2490
2020-01-02,truck4,2780
2020-01-02,truck4,455
2020-01-02,truck4,810
2020-01-02,truck4,565
2020-01-02,truck4,705
2020-01-02,truck4,995
2020-01-02,truck4,670
2020-01-02,truck4,830
2020-01-02,truck4,850
2020-01-02,truck4,360
2020-01-02,truck4,345
2020-01-02,truck4,715
2020-01-02,truck4,185
2020-01-02,truck4,245
2020-01-02,truck4,90
2020-01-02,truck4,90
2020-01-02,truck4,205
2020-01-02,truck4,425
2020-01-02,truck4,145
2020-01-02,truck4,130
2020-01-02,truck4,245
2020-01-02,truck4,225
2020-01-02,truck4,225
2020-01-02,truck4,300
2020-01-02,truck4,335
2020-01-02,truck4,690
2020-01-02,truck4,360
2020-01-02,truck4,230
2020-01-02,truck4,225
2020-01-02,truck4,0
2020-01-02,truck4,615
2020-01-02,truck4,2635
2020-01-02,truck4,2565
2020-01-02,truck4,2420
2020-01-02,truck5,405
2020-01-02,truck5,550
2020-01-02,truck5,340
2020-01-02,truck5,470
2020-01-02,truck5,20
2020-01-02,truck5,550
2020-01-02,truck5,855
2020-01-02,truck5,330
2020-01-02,truck5,585
2020-01-02,truck5,755
2020-01-02,truck5,565
2020-01-02,truck5,865
2020-01-02,truck5,335
2020-01-02,truck5,435
2020-01-02,truck5,515
2020-01-02,truck5,355
2020-01-02,truck5,460
2020-01-02,truck5,595
2020-01-02,truck5,50
2020-01-02,truck5,455
2020-01-02,truck5,980
2020-01-02,truck5,420
2020-01-02,truck5,395
2020-01-02,truck5,120
2020-01-02,truck5,285
2020-01-02,truck5,595
2020-01-02,truck5,320
2020-01-02,truck5,255
2020-01-02,truck5,490
2020-01-02,truck5,180
2020-01-02,truck5,310
2020-01-02,truck5,270
2020-01-02,truck5,115
2020-01-02,truck5,215
2020-01-02,truck5,470
2020-01-02,truck5,660
2020-01-02,truck5,260
2020-01-02,truck5,15
2020-01-02,truck5,490
2020-01-02,truck5,305
2020-01-02,truck5,315
2020-01-02,truck6,2530
2020-01-02,truck6,2600
2020-01-02,truck6,1855
2020-01-02,truck6,5
2020-01-02,truck6,115
2020-01-02,truck6,30
2020-01-02,truck6,2570
2020-01-02,truck6,2675
2020-01-02,truck6,2715
2020-01-02,truck6,2700
2020-01-02,truck6,2635
2020-01-02,truck6,2730
2020-01-02,truck6,2870
2020-01-02,truck6,2645
2020-01-02,truck6,555
2020-01-02,truck6,660
2020-01-02,truck6,710
2020-01-02,truck6,690
2020-01-02,truck6,565
2020-01-02,truck6,240
2020-01-02,truck6,230
2020-01-02,truck7,270
2020-01-02,truck7,240
2020-01-02,truck7,80
2020-01-02,truck7,150
2020-01-02,truck7,245
2020-01-02,truck7,0
2020-01-02,truck7,195
2020-01-02,truck7,215
2020-01-02,truck7,205
2020-01-02,truck7,155
2020-01-02,truck7,315
2020-01-02,truck7,95
2020-01-02,truck7,220
2020-01-02,truck7,160
2020-01-02,truck7,60
2020-01-02,truck7,65
2020-01-02,truck7,120
2020-01-02,truck7,155
2020-01-02,truck7,210
2020-01-02,truck7,100
2020-01-02,truck7,160
2020-01-02,truck7,190
2020-01-02,truck7,95
2020-01-02,truck7,175
2020-01-02,truck7,115
2020-01-02,truck7,180
2020-01-02,truck7,235
2020-01-02,truck7,120
2020-01-02,truck7,205
2020-01-02,truck7,130
2020-01-02,truck7,150
2020-01-02,truck7,10
2020-01-02,truck7,195
2020-01-02,truck7,265
2020-01-02,truck7,805
2020-01-02,truck7,105
2020-01-02,truck7,330
2020-01-02,truck7,75
2020-01-02,truck7,225
2020-01-02,truck7,35
2020-01-02,truck7,110
2020-01-02,truck7,125
2020-01-02,truck7,105
2020-01-02,truck7,45
2020-01-02,truck7,225
2020-01-02,truck7,105
2020-01-02,truck7,845
2020-01-02,truck7,105
2020-01-02,truck7,215
2020-01-02,truck7,220
2020-01-02,truck7,110
2020-01-02,truck7,10
2020-01-02,truck7,220
2020-01-02,truck7,140
2020-01-02,truck7,115
2020-01-02,truck7,150
2020-01-02,truck7,280
2020-01-02,truck7,75
2020-01-02,truck7,225
2020-01-02,truck7,155
2020-01-02,truck7,125
2020-01-02,truck7,215
2020-01-02,truck7,80
2020-01-02,truck7,45
2020-01-02,truck7,200
2020-01-02,truck7,225
2020-01-02,truck7,175
2020-01-02,truck7,95
2020-01-02,truck7,160
2020-01-02,truck7,45
2020-01-02,truck7,200
2020-01-02,truck7,85
2020-01-02,truck7,340
2020-01-02,truck8,2670
2020-01-02,truck8,2540
2020-01-02,truck8,2730
2020-01-02,truck8,160
2020-01-02,truck8,140
2020-01-02,truck8,115
2020-01-02,truck8,105
2020-01-02,truck8,245
2020-01-02,truck8,225
2020-01-02,truck8,300
2020-01-02,truck8,230
2020-01-02,truck8,115
2020-01-02,truck8,490
2020-01-02,truck8,110
2020-01-02,truck8,480
2020-01-02,truck8,345
2020-01-02,truck8,530
2020-01-02,truck8,1030
2020-01-02,truck9,340
2020-01-02,truck9,175
2020-01-02,truck9,300
2020-01-02,truck9,395
2020-01-02,truck9,440
2020-01-02,truck9,75
2020-01-02,truck9,75
2020-01-02,truck9,15
2020-01-02,truck9,400
2020-01-02,truck9,180
2020-01-02,truck9,215
2020-01-02,truck9,130
2020-01-02,truck9,280
2020-01-02,truck9,340
2020-01-02,truck9,325
2020-01-02,truck9,5
2020-01-02,truck9,300
2020-01-02,truck9,195
2020-01-02,truck9,185
2020-01-02,truck9,335
2020-01-02,truck9,65
2020-01-02,truck9,405
2020-01-02,truck9,195
2020-01-02,truck9,465
2020-01-02,truck9,420
2020-01-02,truck9,120
2020-01-02,truck9,80
2020-01-02,truck9,215
2020-01-02,truck9,275
2020-01-02,truck9,265
2020-01-02,truck9,150
2020-01-02,truck9,155
2020-01-02,truck9,635
2020-01-02,truck9,110
2020-01-02,truck9,375
2020-01-02,truck9,130
2020-01-02,truck9,2625
2020-01-02,truck10,30
2020-01-02,truck10,175
2020-01-02,truck10,25
2020-01-02,truck10,170
2020-01-02,truck10,255
2020-01-02,truck10,315
2020-01-02,truck10,95
2020-01-02,truck10,190
